k1,b,nDCG@10,Recall@100,MRR@10,MAP
0.6,0.3,0.6287826877286439,0.7947332883187036,0.8008460070951609,0.5449184197885661
0.6,0.4,0.6320564665300415,0.7962862930452397,0.8045465847829099,0.5485401435963453
0.6,0.6,0.6281772452493796,0.7929777177582714,0.8006867410479824,0.5457471047402684
0.6,0.8,0.6152089885771486,0.787643484132343,0.7864071894794368,0.5330863130441501
0.9,0.3,0.6328948241552098,0.7956110735989197,0.8030355937108111,0.5490642096333617
0.9,0.4,0.6329535682937885,0.7956785955435517,0.8032071851923283,0.5502493003829901
0.9,0.6,0.6231408006985072,0.7897366644159352,0.7941994898341947,0.5411158982107057
0.9,0.8,0.600659734714008,0.7796083727211344,0.7689383513927727,0.518585533548866
1.2,0.3,0.6301721256098003,0.7943956785955435,0.7980898792107427,0.5469871306915346
1.2,0.4,0.6284311696603058,0.7946657663740716,0.7963458838408175,0.5453541767692516
1.2,0.6,0.6137640849433256,0.7866981769074949,0.7833382099182217,0.5314006962708295
1.2,0.8,0.5835260912465242,0.7675894665766374,0.7486346098196179,0.5007993803087087
1.5,0.3,0.6241843521236912,0.7924375422012154,0.7915348381080981,0.5413591840836749
1.5,0.4,0.6214067923080318,0.7906144496961512,0.7891157304695442,0.5385431537398875
1.5,0.6,0.6025284233356677,0.7802835921674545,0.7700015540765017,0.5200809021420237
1.5,0.8,0.5660829967261632,0.7575286968264686,0.7285493499673097,0.48372413006081905
1.8,0.3,0.6161171989640409,0.7884537474679271,0.7822128441743553,0.5329372888260392
1.8,0.4,0.613439780539417,0.7866306549628629,0.7808022785976849,0.530787520633415
1.8,0.6,0.5915194733264233,0.7732613099257258,0.756457830937911,0.5088837144839837
1.8,0.8,0.5490783867000255,0.7470627954085077,0.7090663215545033,0.46734134225570123
