k1,b,nDCG@10,Recall@100,MRR@10,MAP
0.6,0.3,0.6693082108388658,0.9177103424628185,0.6438871268079205,0.6187134883559176
0.6,0.4,0.6530899792292866,0.9148802975535655,0.6253771805752024,0.6018940962576752
0.6,0.6,0.6106411646052179,0.902088839836365,0.5794623509970073,0.5603422970298325
0.6,0.8,0.5541152714303285,0.8804667966796685,0.5177202839331575,0.5027903199706683
0.9,0.3,0.6715559162814849,0.9225948190057106,0.6458535734525847,0.6196030233315701
0.9,0.4,0.6513207703603636,0.9185158396792066,0.6230345058315379,0.5990757755846894
0.9,0.6,0.5957016309322055,0.8995884112220752,0.5616842041347017,0.5428373672720941
0.9,0.8,0.5264035849699273,0.8697976345253575,0.4869166083275004,0.4732502541487597
1.2,0.3,0.6681281178823165,0.9248794522309379,0.6411582229651562,0.6158101060086558
1.2,0.4,0.6433077363448678,0.9190686925835447,0.6133917558422537,0.5901610375631847
1.2,0.6,0.5799884894247065,0.8922669052619554,0.543183365955646,0.5246925421048597
1.2,0.8,0.5004568420999673,0.8588685058982092,0.45893482205363473,0.44678349301913467
1.5,0.3,0.6598330645915805,0.9252532396096759,0.6312603284137964,0.6059599933412316
1.5,0.4,0.6339516611774333,0.9158019373365914,0.6024963210606801,0.5791009854545757
1.5,0.6,0.5635260321488338,0.8875635777863506,0.5248905247667646,0.5072020975610954
1.5,0.8,0.47540186868175677,0.8493007634096748,0.4337483153077216,0.4233011239490676
1.8,0.3,0.6496754141911567,0.9248155172660129,0.6184751808514211,0.5935383305972702
1.8,0.4,0.6220076793406247,0.9136767248153393,0.5881805442449036,0.5656594228950197
1.8,0.6,0.5485152717004557,0.8813940322603693,0.5084519166202356,0.4916652598641172
1.8,0.8,0.45292737484799145,0.8408109858604914,0.4109890155682237,0.40153030446794613
